"Borough","Year.Filed","Year.Settled","Claim.Type","Settlement.Amount"
"** Borough Missing **","2015",2016,"Civil Rights Claims",55000
"** Borough Missing **","2015",2016,"Automobile Accident",4562.68
"MANHATTAN (NEW YORK)","2012",2016,"Automobile Accident (Pi)",42000
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",1500
"BROOKLYN (KINGS)","2012",2016,"Peace Officer/Police Action (Pi)",12500
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",22500
"QUEENS","2015",2016,"Civil Rights Claims",15000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",12500
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",7500
"BROOKLYN (KINGS)","2014",2016,"Automobile Accident",1916.58
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",20000
"BRONX","2015",2016,"Civil Rights Claims",15000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",5000
"MANHATTAN (NEW YORK)","2011",2016,"Automobile Accident (Pi)",2500
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",25000
"BRONX","2012",2016,"Peace Officer/Police Action (Pi)",10000
"QUEENS","2015",2016,"Civil Rights Claims",12500
"BROOKLYN (KINGS)","2014",2016,"Civil Rights Claims",20000
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",17500
"MANHATTAN (NEW YORK)","2011",2016,"Peace Officer/Police Action (Pi)",15000
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",12500
"MANHATTAN (NEW YORK)","2015",2016,"Peace Officer/Police Action (Pi)",47500
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",12000
"BROOKLYN (KINGS)","2012",2016,"Employee Uniformed Service (Pi)",35000
"MANHATTAN (NEW YORK)","2015",2016,"Civil Rights Claims",25000
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",2000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",27500
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",17500
"BROOKLYN (KINGS)","2008",2016,"Automobile Accident (Pi)",4e+05
"MANHATTAN (NEW YORK)","2013",2016,"Automobile Accident (Pi)",45000
"BROOKLYN (KINGS)","2013",2016,"Civil Rights Claims",950000
"MANHATTAN (NEW YORK)","2015",2016,"Civil Rights Claims",10000
"BROOKLYN (KINGS)","2015",2016,"Automobile Accident (Pi)",4000
"** Borough Missing **","2012",2016,"Peace Officer/Police Action (Pi)",6000
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",1500
"BRONX","2008",2016,"Peace Officer/Police Action (Pi)",150000
"BRONX","2010",2016,"Peace Officer/Police Action (Pi)",1500
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",30000
"MANHATTAN (NEW YORK)","2013",2016,"Employee Uniformed Service (Pi)",5000
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",17500
