"launch_speed","launch_angle","event"
85.7,6,"Hit - Not Home Run"
103,-3,"Out"
92.8,4,"Hit - Not Home Run"
88.8,36,"Out"
92.6,35,"Out"
106.3,25,"Home Run"
80,69,"Out"
69.8,-9,"Out"
100.9,-2,"Out"
95.2,24,"Out"
85.6,52,"Out"
71,20,"Hit - Not Home Run"
79.8,39,"Out"
105.2,31,"Home Run"
82.7,26,"Out"
107.6,16,"Hit - Not Home Run"
100.5,13,"Hit - Not Home Run"
95.7,12,"Hit - Not Home Run"
80,69,"Out"
102.3,28,"Hit - Not Home Run"
99.7,17,"Hit - Not Home Run"
61,-7,"Out"
82.9,-21,"Out"
104,10,"Hit - Not Home Run"
96,-15,"Out"
75.2,35,"Hit - Not Home Run"
99.8,16,"Out"
81.4,13,"Out"
104.9,7,"Out"
103.7,26,"Home Run"
90.4,15,"Hit - Not Home Run"
82.9,-21,"Out"
91.5,13,"Hit - Not Home Run"
88,60,"Out"
98.4,18,"Hit - Not Home Run"
96.7,31,"Out"
87.1,25,"Out"
97.8,22,"Out"
87.9,47,"Out"
76.8,-20,"Out"
80,69,"Out"
54.5,46,"Out"
80.7,4,"Out"
97.7,20,"Hit - Not Home Run"
105.6,-20,"Out"
96.1,6,"Hit - Not Home Run"
81.3,-36,"Out"
99.6,21,"Out"
84.6,15,"Hit - Not Home Run"
97.6,5,"Hit - Not Home Run"
96.2,-3,"Out"
100.7,30,"Out"
97.6,-4,"Out"
81.4,7,"Hit - Not Home Run"
82.7,2,"Out"
94.4,55,"Out"
107.4,24,"Home Run"
80.8,19,"Hit - Not Home Run"
82.2,39,"Out"
109.3,12,"Hit - Not Home Run"
75.3,12,"Out"
83.3,59,"Out"
101.7,17,"Out"
101.7,4,"Hit - Not Home Run"
82.9,-21,"Out"
105.6,27,"Home Run"
105.5,1,"Hit - Not Home Run"
54.5,-23,"Out"
81.8,0,"Out"
100.9,14,"Hit - Not Home Run"
81.5,16,"Hit - Not Home Run"
80.9,-8,"Hit - Not Home Run"
81.8,3,"Out"
92.9,12,"Hit - Not Home Run"
99.5,31,"Home Run"
105.3,25,"Home Run"
82.7,-1,"Hit - Not Home Run"
85.7,34,"Out"
91,11,"Hit - Not Home Run"
82.9,-21,"Out"
107.1,7,"Hit - Not Home Run"
80,69,"Out"
80,69,"Out"
80.3,-29,"Out"
76.9,-36,"Out"
106.9,25,"Home Run"
86.4,7,"Hit - Not Home Run"
91.3,17,"Hit - Not Home Run"
101.4,29,"Home Run"
107,3,"Hit - Not Home Run"
77.4,56,"Out"
91.1,7,"Out"
